ID,Event,Event Type, Start Date,End Date,Schedule,Neighborhood,Address,Notes,Tickets Link,Link
89,Tehmplo Tulum,Party,12/4/2025,,8pm - 4am,Wynwood,"150 NW 21st St, Miami, FL 33127",,https://linktr.ee/phase3?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4CGNhbGxzaXRlAjE1AAGnR7Ewc1RzLlQSdVxJIo01wbcHtzMrAyPFLJB3SwWTKHFdUm0KkCZjcwN1WBk_aem_GpFTGN3B-RMYGmBPaSxJrw,https://linktr.ee/phase3?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4CGNhbGxzaXRlAjE1AAGnR7Ewc1RzLlQSdVxJIo01wbcHtzMrAyPFLJB3SwWTKHFdUm0KkCZjcwN1WBk_aem_GpFTGN3B-RMYGmBPaSxJrw
90,Arodes & Guests ,Party,12/5/2025,,8pm - 4am,Wynwood,"150 NW 21st St, Miami, FL 33127",,https://posh.vip/e/long-feng-special-guest-with-arodes-peace-control-dwitches-and-hank,https://posh.vip/e/long-feng-special-guest-with-arodes-peace-control-dwitches-and-hank
91,Victim 15 After Party,Party,12/4/2025,,10pm -  late,Location revealed to ticket holders,,,https://checkout.square.site/merchant/MLZ059NFEQHSF/checkout/VIWYIEL75W2FGVMFBTX3QVP5,https://checkout.square.site/merchant/MLZ059NFEQHSF/checkout/VIWYIEL75W2FGVMFBTX3QVP5
92,ZeyZey,Party,12/2/2025,12/7/2025,Schedule varies but usually from  7pm - 3am. A couple of day events too!,Little River,"353 NE 61st St, Miami, FL 33137",,https://zeyzeymiami.com/tickets/,https://zeyzeymiami.com/tickets/
93,Arlo Wynwood - COFFEE + BEATS,Party,12/6/2025,,9am - 12pm,Wynwood,"2217 Northwest Miami Court, Miami, FL 33127",,https://www.eventbrite.com/e/art-access-miami-art-week-2025-arlo-wynwood-coffee-beats-tickets-1965765956894?aff=odcleoeventsincollection,https://www.eventbrite.com/e/art-access-miami-art-week-2025-arlo-wynwood-coffee-beats-tickets-1965765956894?aff=odcleoeventsincollection
94,Alo Wellness Sessions,Wellness,12/4/2025,12/7/2025,10 - 11 am,Miami Beach,"SCOPE Art Show - 801 Ocean Dr, Miami Beach, FL 33139",Invite only.,,https://scope-art.com/program
95,Wellness Wonderland at Faena ,Wellness,11/30/2025,,9am - 1pm,Miami Beach,"3201 Collins Ave, Miami Beach, FL 33140",,https://www.faena.com/miami-beach/things-to-do/event-calendar/wellness-wonderland-0,https://www.faena.com/miami-beach/things-to-do/event-calendar/wellness-wonderland-0
96,YogArt X Ahana Sunday Service ,Wellness,12/7/2025,,10:15 - 11:15 am,Design District,"Palm Court - 140 NE 39th St, Miami FL, 33137",,https://www.miamidesigndistrict.com/event/3260/yogart-x-ahana-sunday-service/,https://www.miamidesigndistrict.com/event/3260/yogart-x-ahana-sunday-service/
97,Arlo Wynwood - MORNING ART RUN CLUB,Wellness,12/6/2025,,8 - 9 am,Wynwood,"2217 Northwest Miami Court, Miami, FL 33127",,https://www.eventbrite.com/e/art-access-miami-art-week-2025-arlo-wynwood-mad-pop-morning-art-run-club-tickets-1965730563030?aff=odcleoeventsincollection,https://www.eventbrite.com/e/art-access-miami-art-week-2025-arlo-wynwood-mad-pop-morning-art-run-club-tickets-1965730563030?aff=odcleoeventsincollection
98,Arlo Wynwood - Yoga & Wellness Circuit,Wellness,12/6/2025,,8am - 12pm,Wynwood,"2217 Northwest Miami Court, Miami, FL 33127",,https://www.eventbrite.com/e/art-access-miami-art-week-2025-arlo-reset-social-yoga-wellness-circuit-tickets-1965783551520?aff=odcleoeventsincollection,https://www.eventbrite.com/e/art-access-miami-art-week-2025-arlo-reset-social-yoga-wellness-circuit-tickets-1965783551520?aff=odcleoeventsincollection
99,Wellness Retreat with The Ethereal,Wellness,12/6/2025,,11am - 1pm,Brickell,"Flow Brickell - 275 SW 6th St, Miami, FL 33130",,https://luma.com/yq6qg1om,https://luma.com/yq6qg1om
100,The Wellness Oasis by Chase Bank,Wellness,12/2/2025,12/3/2025,8am - 7pm,Downtown,"Reserve Miami Seaplane - 1000 MacArthur Cswy, Miami, FL 33132",,https://thewellnessoasis.splashthat.com/?fbclid=PARlRTSAOQMxlleHRuA2FlbQIxMABzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaenMtkr0modBNpyiof5XSikMRQJlMUgjcoFr2uZn5HX-2lLLx2ooZoMpB8Fow_aem_0HiOAENy7p8sh30Dxbyz0A,https://thewellnessoasis.splashthat.com/?fbclid=PARlRTSAOQMxlleHRuA2FlbQIxMABzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaenMtkr0modBNpyiof5XSikMRQJlMUgjcoFr2uZn5HX-2lLLx2ooZoMpB8Fow_aem_0HiOAENy7p8sh30Dxbyz0A
